"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",28,"mailbbs","Remove this deprecated ""border"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",28,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",28,"mailbbs","Remove this deprecated ""vspace"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",29,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",29,"mailbbs","Remove this deprecated ""vspace"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",32,"mailbbs","Remove this deprecated ""clear"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",32,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:S5148","BLOCKER","mailbbs:mailbbs_admin.html",39,"mailbbs","Add rel=""noopener noreferrer"" to this link to prevent the original page from being modified by the opened link.","VULNERABILITY"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_admin.html",39,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:DoctypePresenceCheck","MAJOR","mailbbs:mailbbs_edit.html",1,"mailbbs","Insert a <!DOCTYPE> declaration to before this <html> tag.","BUG"
"Web:S5254","MAJOR","mailbbs:mailbbs_edit.html",1,"mailbbs","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",5,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",5,"mailbbs","Remove this deprecated ""text"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",5,"mailbbs","Remove this deprecated ""link"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",5,"mailbbs","Remove this deprecated ""vlink"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",5,"mailbbs","Remove this deprecated ""alink"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_edit.html",9,"mailbbs","Remove this deprecated ""center"" element.","BUG"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",10,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_edit.html",12,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_edit.html",12,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",12,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",12,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",12,"mailbbs","Remove this deprecated ""width"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_edit.html",13,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",15,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_edit.html",15,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",16,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_edit.html",17,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_edit.html",32,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S5148","BLOCKER","mailbbs:mailbbs_edit.html",32,"mailbbs","Add rel=""noopener noreferrer"" to this link to prevent the original page from being modified by the opened link.","VULNERABILITY"
"Web:DoctypePresenceCheck","MAJOR","mailbbs:mailbbs_i.html",1,"mailbbs","Insert a <!DOCTYPE> declaration to before this <html> tag.","BUG"
"Web:S5254","MAJOR","mailbbs:mailbbs_i.html",1,"mailbbs","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",5,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",5,"mailbbs","Remove this deprecated ""text"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",5,"mailbbs","Remove this deprecated ""link"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",5,"mailbbs","Remove this deprecated ""vlink"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",5,"mailbbs","Remove this deprecated ""alink"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_i.html",6,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:BoldAndItalicTagsCheck","MINOR","mailbbs:mailbbs_i.html",6,"mailbbs","Replace this <b> tag by <strong>.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_i.html",9,"mailbbs","Remove this deprecated ""size"" attribute.","CODE_SMELL"
"Web:BoldAndItalicTagsCheck","MINOR","mailbbs:mailbbs_i.html",12,"mailbbs","Replace this <b> tag by <strong>.","BUG"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_i.html",20,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S5148","BLOCKER","mailbbs:mailbbs_i.html",20,"mailbbs","Add rel=""noopener noreferrer"" to this link to prevent the original page from being modified by the opened link.","VULNERABILITY"
"Web:DoctypePresenceCheck","MAJOR","mailbbs:mailbbs_pc.html",1,"mailbbs","Insert a <!DOCTYPE> declaration to before this <html> tag.","BUG"
"Web:S5254","MAJOR","mailbbs:mailbbs_pc.html",1,"mailbbs","Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",5,"mailbbs","Remove this deprecated ""text"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",5,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",5,"mailbbs","Remove this deprecated ""link"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",5,"mailbbs","Remove this deprecated ""vlink"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",5,"mailbbs","Remove this deprecated ""alink"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_pc.html",6,"mailbbs","Remove this deprecated ""center"" element.","BUG"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_pc.html",7,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:BoldAndItalicTagsCheck","MINOR","mailbbs:mailbbs_pc.html",7,"mailbbs","Replace this <b> tag by <strong>.","BUG"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_pc.html",15,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_pc.html",15,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",15,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",15,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",15,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_pc.html",17,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_pc.html",17,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",17,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",17,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",17,"mailbbs","Remove this deprecated ""width"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_pc.html",18,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",20,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_pc.html",20,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",21,"mailbbs","Remove this deprecated ""border"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",21,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",21,"mailbbs","Remove this deprecated ""vspace"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",22,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",22,"mailbbs","Remove this deprecated ""vspace"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",25,"mailbbs","Remove this deprecated ""clear"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_pc.html",25,"mailbbs","Remove this deprecated ""align"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_pc.html",31,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S5148","BLOCKER","mailbbs:mailbbs_pc.html",31,"mailbbs","Add rel=""noopener noreferrer"" to this link to prevent the original page from being modified by the opened link.","VULNERABILITY"
"php:S121","CRITICAL","mailbbs:pop.php",48,"mailbbs","Add curly braces around the nested statement(s).","CODE_SMELL"
"php:S121","CRITICAL","mailbbs:pop.php",57,"mailbbs","Add curly braces around the nested statement(s).","CODE_SMELL"
"php:S121","CRITICAL","mailbbs:pop.php",91,"mailbbs","Add curly braces around the nested statement(s).","CODE_SMELL"
"php:S121","CRITICAL","mailbbs:pop.php",110,"mailbbs","Add curly braces around the nested statement(s).","CODE_SMELL"
"php:S1871","MAJOR","mailbbs:pop.php",116,"mailbbs","This branch's code block is the same as the block for the branch on line 114.","CODE_SMELL"
